Município,Posição,Estimativa 2019,Latitude,Longitude,Região Administrativa,Porte,i-Amb
Adamantina,184,35068,-21.682,-51.0737,Região Administrativa de Presidente Prudente,Médio,B+
Adolfo,567,3562,-21.2325,-49.6451,Região Administrativa de São José do Rio Preto,Muito Pequeno,B+
Aguaí,176,36305,-22.0572,-46.9735,Região Administrativa de Campinas,Médio,C
Agudos,173,37214,-22.4694,-48.9863,Região Administrativa de Bauru,Médio,B+
Alambari,470,6025,-23.5503,-47.898,Região Administrativa de Sorocaba,Pequeno,C
Alfredo Marcondes,539,4166,-21.9527,-51.414,Região Administrativa de Presidente Prudente,Muito Pequeno,B
Altair,541,4160,-20.5242,-49.0571,Região Administrativa de Barretos,Muito Pequeno,B
Altinópolis,298,16184,-21.0214,-47.3712,Região Administrativa de Ribeirão Preto,Pequeno,B
Alto Alegre,545,4099,-21.5811,-50.168,Região Administrativa de Araçatuba,Muito Pequeno,B
Alumínio,270,18628,-23.5306,-47.2546,Região Administrativa de Sorocaba,Pequeno,B
Alvinlândia,578,3222,-22.4435,-49.7623,Região Administrativa de Marília,Muito Pequeno,B+
Americana,34,239597,-22.7374,-47.3331,Região Administrativa de Campinas,Grande,B
Amparo,105,72195,-22.7088,-46.772,Região Administrativa de Campinas,Médio,B
Américo Brasiliense,168,40504,-21.7288,-48.1147,Região Administrativa Central,Médio,B
Américo de Campos,474,5969,-20.2985,-49.7359,Região Administrativa de São José do Rio Preto,Pequeno,C+
Analândia,503,4995,-22.1289,-47.6619,Região Administrativa de Campinas,Muito Pequeno,C
Andradina,124,57157,-20.8948,-51.3786,Região Administrativa de Araçatuba,Médio,A
Angatuba,227,25228,-23.4917,-48.4139,Região Administrativa de Itapeva,Médio,B+
Anhembi,446,6724,-22.793000000000006,-48.1336,Região Administrativa de Sorocaba,Pequeno,C+
Anhumas,543,4115,-22.2934,-51.3895,Região Administrativa de Presidente Prudente,Muito Pequeno,B+
Aparecida,177,36157,-22.8495,-45.2325,Região Administrativa de São José dos Campos,Médio,B
Aparecida d'Oeste,536,4196,-20.4487,-50.8835,Região Administrativa de São José do Rio Preto,Muito Pequeno,C+
Apiaí,235,24374,-24.5108,-48.8443,Região Administrativa de Itapeva,Médio,C
Aramina,487,5620,-20.0882,-47.7873,Região Administrativa de Franca,Pequeno,B+
Arandu,456,6357,-23.1386,-49.0487,Região Administrativa de Itapeva,Pequeno,C
Arapeí,610,2469,-22.6717,-44.4441,Região Administrativa de São José dos Campos,Muito Pequeno,C
Araraquara,37,236072,-21.7845,-48.178,Região Administrativa Central,Grande,B+
Araras,58,134236,-22.3572,-47.3842,Região Administrativa de Campinas,Médio,B+
Araçariguama,241,22364,-23.4366,-47.0608,Região Administrativa de Sorocaba,Médio,C
Araçatuba,42,197016,-21.2076,-50.4401,Região Administrativa de Araçatuba,Médio,B
Araçoiaba da Serra,187,34146,-23.5029,-47.6166,Região Administrativa de Sorocaba,Médio,B
Arco-Íris,636,1791,-21.7728,-50.466,Região Administrativa de Marília,Muito Pequeno,B
Arealva,408,8560,-22.031,-48.9135,Região Administrativa de Bauru,Pequeno,C
Areias,556,3886,-22.5786,-44.6992,Região Administrativa de São José dos Campos,Muito Pequeno,C
Areiópolis,364,11129,-22.6672,-48.6681,Região Administrativa de Sorocaba,Pequeno,C
Ariranha,384,9668,-21.1872,-48.7904,Região Administrativa de São José do Rio Preto,Pequeno,B
Artur Nogueira,132,54408,-22.5727,-47.1727,Região Administrativa de Campinas,Médio,B+
Arujá,90,89824,-23.3965,-46.32,Região Metropolitana de São Paulo,Médio,B
Aspásia,634,1822,-20.16,-50.728,Região Administrativa de São José do Rio Preto,Muito Pequeno,B+
Assis,77,104386,-22.66,-50.4183,Região Administrativa de Marília,Médio,B
Atibaia,56,142761,-23.1171,-46.5563,Região Administrativa de Campinas,Médio,B+
Auriflama,309,15189,-20.6836,-50.5572,Região Administrativa de Araçatuba,Pequeno,C
Avanhandava,327,13649,-21.4584,-49.9509,Região Administrativa de Araçatuba,Pequeno,B+
Avaré,89,90655,-23.1067,-48.9251,Região Administrativa de Sorocaba,Médio,C
Avaí,493,5403,-22.1514,-49.3356,Região Administrativa de Bauru,Pequeno,C
Bady Bassitt,283,17502,-20.9197,-49.4385,Região Administrativa de São José do Rio Preto,Pequeno,B
Balbinos,484,5735,-21.8963,-49.3619,Região Administrativa de Bauru,Pequeno,C
Bananal,366,10945,-22.6819,-44.3281,Região Administrativa de São José dos Campos,Pequeno,C
Barbosa,435,7402,-21.2657,-49.9518,Região Administrativa de Araçatuba,Pequeno,C+
Bariri,181,35264,-22.073,-48.7438,Região Administrativa de Bauru,Médio,A
Barra Bonita,178,36126,-22.4909,-48.5583,Região Administrativa de Bauru,Médio,B+
Barra do Chapéu,485,5724,-24.4722,-49.0238,Região Administrativa de Itapeva,Pequeno,C
Barra do Turvo,429,7659,-24.759,-48.5013,Região Administrativa de Registro,Pequeno,C
Barretos,66,122098,-20.5531,-48.5698,Região Administrativa de Barretos,Médio,B
Barrinha,194,32812,-21.1864,-48.1636,Região Administrativa de Ribeirão Preto,Médio,C
Barueri,29,274182,-23.5057,-46.879,Região Metropolitana de São Paulo,Grande,B
Barão de Antonina,571,3469,-23.6284,-49.5634,Região Administrativa de Itapeva,Muito Pequeno,B
Bastos,252,20953,-21.921,-50.7357,Região Administrativa de Marília,Médio,B
Batatais,114,62508,-20.8929,-47.5921,Região Administrativa de Franca,Médio,C+
Bauru,18,376818,-22.3246,-49.0871,Região Administrativa de Bauru,Grande,B+
Bebedouro,99,77496,-20.9491,-48.4791,Região Administrativa de Barretos,Médio,B
Bento de Abreu,589,2980,-21.2686,-50.81399999999999,Região Administrativa de Araçatuba,Muito Pequeno,B+
Bernardino de Campos,362,11148,-23.0164,-49.4679,Região Administrativa de Marília,Pequeno,C
Bertioga,113,63249,-23.8486,-46.1396,Região Administrativa de Santos,Médio,B
Bilac,419,8034,-21.404,-50.4746,Região Administrativa de Araçatuba,Pequeno,B
Birigui,63,123638,-21.291,-50.3432,Região Administrativa de Araçatuba,Médio,B
Biritiba Mirim,195,32598,-23.5698,-46.0407,Região Metropolitana de São Paulo,Médio,C
Boa Esperança do Sul,315,14923,-21.9918,-48.3906,Região Administrativa Central,Pequeno,C
Bocaina,346,12329,-22.1365,-48.523,Região Administrativa de Bauru,Pequeno,B
Bofete,352,11730,-23.1055,-48.2582,Região Administrativa de Sorocaba,Pequeno,B+
Boituva,116,60997,-23.2855,-47.6786,Região Administrativa de Sorocaba,Médio,B
Bom Jesus dos Perdões,226,25448,-23.1356,-46.4675,Região Administrativa de Campinas,Médio,C
Bom Sucesso de Itararé,554,3954,-24.3155,-49.1451,Região Administrativa de Itapeva,Muito Pequeno,C
Boraceia,511,4823,-22.1926,-48.7808,Região Administrativa de Bauru,Muito Pequeno,B
Borborema,299,16046,-21.6214,-49.0741,Região Administrativa Central,Pequeno,B+
Borebi,601,2653,-22.5728,-48.9707,Região Administrativa de Bauru,Muito Pequeno,C+
Borá,645,837,-22.2696,-50.5409,Região Administrativa de Marília,Muito Pequeno,C
Botucatu,55,146497,-22.8837,-48.4437,Região Administrativa de Sorocaba,Médio,A
Bragança Paulista,48,168668,-22.9527,-46.5419,Região Administrativa de Campinas,Médio,B+
Braúna,486,5686,-21.499,-50.3175,Região Administrativa de Araçatuba,Pequeno,B
Brejo Alegre,592,2865,-21.1651,-50.1861,Região Administrativa de Araçatuba,Muito Pequeno,C
Brodowski,229,24939,-20.9845,-47.6572,Região Administrativa de Ribeirão Preto,Médio,C
Brotas,234,24403,-22.2795,-48.1251,Região Administrativa de Campinas,Médio,B
Buri,261,19878,-23.7977,-48.5958,Região Administrativa de Itapeva,Pequeno,C
Buritama,290,17144,-21.0661,-50.1475,Região Administrativa de Araçatuba,Pequeno,B
Buritizal,529,4481,-20.1911,-47.7096,Região Administrativa de Franca,Muito Pequeno,C
Bálsamo,396,9068,-20.7348,-49.5865,Região Administrativa de São José do Rio Preto,Pequeno,A
Cabreúva,141,49707,-23.3053,-47.1362,Região Administrativa de Campinas,Médio,B+
Cabrália Paulista,533,4264,-22.4576,-49.3393,Região Administrativa de Bauru,Muito Pequeno,B
Cachoeira Paulista,189,33327,-22.6665,-45.0154,Região Administrativa de São José dos Campos,Médio,C
Caconde,265,18985,-21.528,-46.6437,Região Administrativa de Campinas,Pequeno,B
Cafelândia,281,17767,-21.8031,-49.6092,Região Administrativa de Bauru,Pequeno,C
Caiabu,537,4191,-22.0127,-51.2394,Região Administrativa de Presidente Prudente,Muito Pequeno,C
Caieiras,80,101470,-23.3607,-46.7397,Região Metropolitana de São Paulo,Médio,B
Caiuá,476,5874,-21.8322,-51.9969,Região Administrativa de Presidente Prudente,Pequeno,C+
Cajamar,101,76801,-23.355,-46.8781,Região Metropolitana de São Paulo,Médio,C
Cajati,209,28549,-24.7324,-48.1223,Região Administrativa de Registro,Médio,C+
Cajobi,373,10542,-20.8773,-48.8063,Região Administrativa de Barretos,Pequeno,C+
Cajuru,222,26167,-21.2749,-47.303,Região Administrativa de Ribeirão Preto,Médio,B
Campina do Monte Alegre,471,6024,-23.5895,-48.4758,Região Administrativa de Itapeva,Pequeno,B+
Campinas,3,1204073,-22.9053,-47.0659,Região Administrativa de Campinas,Grande,A
Campo Limpo Paulista,93,84650,-23.2078,-46.7889,Região Administrativa de Campinas,Médio,B+
Campos Novos Paulista,504,4965,-22.602,-49.9987,Região Administrativa de São José dos Campos,Médio,C+
Campos do Jordão,135,52088,-22.7296,-45.5833,Região Administrativa de Marília,Muito Pequeno,C+
Cananeia,340,12540,-25.0144,-47.9341,Região Administrativa de Registro,Pequeno,C
Canas,502,5138,-22.7003,-45.0521,Região Administrativa de São José dos Campos,Muito Pequeno,C
Canitar,500,5216,-23.004,-49.7839,Região Administrativa de Marília,Pequeno,C
Capela do Alto,255,20706,-23.4685,-47.7388,Região Administrativa de Sorocaba,Médio,B+
Capivari,128,55768,-22.9951,-47.5071,Região Administrativa de Campinas,Médio,B
Capão Bonito,149,47138,-24.0113,-48.3482,Região Administrativa de Itapeva,Médio,B
Caraguatatuba,71,121532,-23.6125,-45.4125,Região Administrativa de São José dos Campos,Médio,B+
Carapicuíba,17,400927,-23.5235,-46.8407,Região Metropolitana de São Paulo,Grande,C
Cardoso,347,12326,-20.08,-49.9183,Região Administrativa de São José do Rio Preto,Pequeno,C
Casa Branca,201,30380,-21.7708,-47.0852,Região Administrativa de Campinas,Médio,B+
Castilho,251,21006,-20.8689,-51.4884,Região Administrativa de Araçatuba,Médio,A
Catanduva,67,121862,-21.1314,-48.977,Região Administrativa de São José do Rio Preto,Médio,A
Catiguá,424,7804,-21.0519,-49.0616,Região Administrativa de São José do Rio Preto,Pequeno,B
Caçapava,84,94263,-23.0992,-45.7076,Região Administrativa de São José dos Campos,Médio,B
Cedral,393,9237,-20.9009,-49.2664,Região Administrativa de São José do Rio Preto,Pequeno,C
Cerqueira César,260,19985,-23.038,-49.1655,Região Administrativa de Sorocaba,Pequeno,C
Cerquilho,143,48949,-23.1665,-47.7459,Região Administrativa de Sorocaba,Médio,B+
Cesário Lange,277,18148,-23.226,-47.9545,Região Administrativa de Sorocaba,Pequeno,C+
Charqueada,287,17190,-22.5096,-47.7755,Região Administrativa de Campinas,Pequeno,B
Chavantes,343,12418,-23.0366,-49.7096,Região Administrativa de Marília,Pequeno,C
Clementina,406,8617,-21.5604,-50.4525,Região Administrativa de Araçatuba,Pequeno,B+
Colina,273,18468,-20.7114,-48.5387,Região Administrativa de Barretos,Pequeno,B
Colômbia,463,6210,-20.1768,-48.6865,Região Administrativa de Barretos,Pequeno,A
Conchal,211,28050,-22.3375,-47.1729,Região Administrativa de Campinas,Médio,B+
Conchas,278,17896,-23.0154,-48.0134,Região Administrativa de Sorocaba,Pequeno,A
Cordeirópolis,233,24528,-22.4778,-47.4519,Região Administrativa de Campinas,Médio,B
Coroados,469,6058,-21.3521,-50.2859,Região Administrativa de Araçatuba,Pequeno,C
Coronel Macedo,520,4681,-23.6261,-49.31,Região Administrativa de Itapeva,Muito Pequeno,C
Corumbataí,550,4055,-22.2213,-47.6215,Região Administrativa de Campinas,Muito Pequeno,B
Cosmorama,437,7307,-20.4755,-49.7827,Região Administrativa de São José do Rio Preto,Pequeno,B
Cosmópolis,104,72252,-22.6419,-47.1926,Região Administrativa de Campinas,Médio,C+
Cotia,33,249210,-23.6022,-46.919,Região Metropolitana de São Paulo,Grande,B
Cravinhos,180,35292,-21.338,-47.7324,Região Administrativa de Ribeirão Preto,Médio,C+
Cristais Paulista,405,8631,-20.4036,-47.4209,Região Administrativa de Franca,Pequeno,C
Cruzeiro,95,82238,-22.5728,-44.969,Região Administrativa de São José dos Campos,Médio,C
Cruzália,625,2073,-22.7373,-50.7909,Região Administrativa de Marília,Muito Pequeno,B
Cubatão,59,130705,-23.8911,-46.424,Região Administrativa de Santos,Médio,B
Cunha,246,21547,-23.0731,-44.9576,Região Administrativa de São José dos Campos,Médio,C
Cássia dos Coqueiros,606,2523,-21.2801,-47.1643,Região Administrativa de Ribeirão Preto,Muito Pequeno,C+
Cândido Mota,198,31280,-22.7471,-50.3873,Região Administrativa de Marília,Médio,C+
Cândido Rodrigues,595,2793,-21.3275,-48.6327,Região Administrativa Central,Muito Pequeno,B
Descalvado,188,33718,-21.9002,-47.6181,Região Administrativa Central,Médio,C
Diadema,14,423884,-23.6813,-46.6205,Região Metropolitana de São Paulo,Grande,B
Dirce Reis,635,1793,-20.4642,-50.6073,Região Administrativa de São José do Rio Preto,Muito Pequeno,B
Divinolândia,363,11146,-21.6637,-46.7361,Região Administrativa de Campinas,Pequeno,B+
Dobrada,399,8929,-21.5155,-48.3935,Região Administrativa Central,Pequeno,B
Dois Córregos,214,27315,-22.3673,-48.3819,Região Administrativa de Bauru,Médio,C+
Dolcinópolis,621,2115,-20.124,-50.5149,Região Administrativa de São José do Rio Preto,Muito Pequeno,C
Dourado,401,8873,-22.1044,-48.3178,Região Administrativa Central,Pequeno,C
Dracena,150,46793,-21.4843,-51.535,Região Administrativa de Presidente Prudente,Médio,B+
Duartina,342,12445,-22.4146,-49.4084,Região Administrativa de Bauru,Pequeno,B
Dumont,381,9868,-21.2324,-47.9756,Região Administrativa de Ribeirão Preto,Pequeno,B+
Echaporã,465,6102,-22.4326,-50.2038,Região Administrativa de Marília,Pequeno,B
Eldorado,304,15494,-24.5281,-48.1141,Região Administrativa de Registro,Pequeno,C+
Elias Fausto,280,17772,-23.0428,-47.3682,Região Administrativa de Campinas,Pequeno,C+
Elisiário,564,3651,-21.1678,-49.1146,Região Administrativa de São José do Rio Preto,Muito Pequeno,C+
Embaúba,611,2452,-20.9796,-48.8325,Região Administrativa de Barretos,Muito Pequeno,B+
Embu das Artes,30,273726,-23.6437,-46.8579,Região Metropolitana de São Paulo,Grande,C
Embu-Guaçu,106,69385,-23.8297,-46.8136,Região Metropolitana de São Paulo,Médio,C
Emilianópolis,579,3214,-21.8314,-51.4832,Região Administrativa de Presidente Prudente,Muito Pequeno,C
Engenheiro Coelho,254,20773,-22.4836,-47.21100000000001,Região Administrativa de Campinas,Pequeno,B
Espírito Santo do Pinhal,157,44330,-22.1909,-46.7477,Região Administrativa de Campinas,Médio,B+
Espírito Santo do Turvo,510,4829,-22.6925,-49.4341,Região Administrativa de Marília,Muito Pequeno,B
Estiva Gerbi,358,11304,-22.2713,-46.9481,Região Administrativa de Campinas,Pequeno,B
Estrela d'Oeste,410,8419,-20.2875,-50.4049,Região Administrativa de São José do Rio Preto,Pequeno,C
Estrela do Norte,597,2766,-22.4859,-51.6632,Região Administrativa de Presidente Prudente,Muito Pequeno,B
Euclides da Cunha Paulista,388,9371,-22.5545,-52.5928,Região Administrativa de Presidente Prudente,Pequeno,C
Fartura,300,16036,-23.3916,-49.5124,Região Administrativa de Itapeva,Pequeno,B
Fernando Prestes,482,5783,-21.2661,-48.6874,Região Administrativa Central,Pequeno,B
Fernandópolis,107,69116,-20.2806,-50.2471,Região Administrativa de São José do Rio Preto,Médio,B+
Fernão,639,1716,-22.3607,-49.5187,Região Administrativa de Marília,Muito Pequeno,A
Ferraz de Vasconcelos,43,194276,-23.5411,-46.371,Região Metropolitana de São Paulo,Médio,C
Flora Rica,642,1464,-21.6727,-51.3821,Região Administrativa de Presidente Prudente,Muito Pequeno,B+
Floreal,591,2917,-20.6752,-50.1513,Região Administrativa de São José do Rio Preto,Muito Pequeno,B
Flórida Paulista,319,14640,-21.6127,-51.1724,Região Administrativa de Presidente Prudente,Pequeno,B
Franca,21,353187,-20.5352,-47.4039,Região Administrativa de Franca,Grande,B+
Francisco Morato,45,175844,-23.2792,-46.7448,Região Metropolitana de São Paulo,Médio,C
Franco da Rocha,52,154489,-23.3229,-46.729,Região Metropolitana de São Paulo,Médio,C
Gabriel Monteiro,596,2776,-21.5294,-50.5573,Região Administrativa de Araçatuba,Muito Pequeno,B+
Garça,155,44390,-22.2125,-49.6546,Região Administrativa de Marília,Médio,C+
Gastão Vidigal,513,4808,-20.7948,-50.1912,Região Administrativa de Araçatuba,Muito Pequeno,B
Gavião Peixoto,514,4789,-21.8367,-48.4957,Região Administrativa Central,Muito Pequeno,B+
General Salgado,368,10869,-20.6485,-50.364,Região Administrativa de Araçatuba,Pequeno,C
Getulina,356,11409,-21.7961,-49.9312,Região Administrativa de Bauru,Pequeno,B
Glicério,512,4815,-21.3812,-50.2123,Região Administrativa de Araçatuba,Muito Pequeno,B
Guaimbê,483,5765,-21.9091,-49.8986,Região Administrativa de Bauru,Pequeno,C+
Guaiçara,349,12168,-21.6195,-49.8013,Região Administrativa de Bauru,Pequeno,B
Guapiara,289,17157,-24.1892,-48.5295,Região Administrativa de Itapeva,Pequeno,C+
Guapiaçu,249,21454,-20.7959,-49.2172,Região Administrativa de São José do Rio Preto,Médio,C+
Guaraci,359,11188,-20.4977,-48.9391,Região Administrativa de Barretos,Pequeno,C
Guarani d'Oeste,627,2000,-20.0746,-50.3411,Região Administrativa de São José do Rio Preto,Muito Pequeno,B
Guarantã,447,6664,-21.8942,-49.5914,Região Administrativa de Bauru,Pequeno,C
Guararapes,191,32939,-21.2544,-50.6453,Região Administrativa de Araçatuba,Médio,C+
Guararema,204,29798,-23.4112,-46.0369,Região Metropolitana de São Paulo,Médio,B
Guaratinguetá,69,121798,-22.8075,-45.1938,Região Administrativa de São José dos Campos,Médio,B
Guaraçaí,411,8323,-21.0292,-51.2119,Região Administrativa de Araçatuba,Pequeno,B
Guareí,272,18520,-23.3714,-48.1837,Região Administrativa de Sorocaba,Pequeno,C+
Guariba,170,40105,-21.3594,-48.2316,Região Administrativa de Ribeirão Preto,Médio,B+
Guarujá,23,320459,-23.9888,-46.258,Região Administrativa de Santos,Grande,B+
Guarulhos,2,1379182,-23.4538,-46.5333,Região Metropolitana de São Paulo,Grande,B+
Guará,250,21220,-20.4302,-47.8236,Região Administrativa de Franca,Médio,B
Guatapará,430,7656,-21.4944,-48.0356,Região Administrativa de Ribeirão Preto,Pequeno,B
Guaíra,167,40790,-20.3196,-48.312,Região Administrativa de Barretos,Médio,B
Guzolândia,496,5267,-20.6467,-50.6645,Região Administrativa de Araçatuba,Pequeno,B+
Gália,451,6548,-22.2918,-49.5504,Região Administrativa de Marília,Pequeno,B+
Herculândia,387,9526,-22.0038,-50.3907,Região Administrativa de Marília,Pequeno,C
Holambra,314,14930,-22.6405,-47.0487,Região Administrativa de Campinas,Pequeno,B+
Hortolândia,39,230851,-22.8529,-47.2143,Região Administrativa de Campinas,Grande,B+
Iacanga,353,11710,-21.8896,-49.03100000000001,Região Administrativa de Bauru,Pequeno,B+
Iacri,458,6321,-21.8572,-50.6932,Região Administrativa de Marília,Pequeno,B
Iaras,392,9240,-22.8682,-49.1634,Região Administrativa de Sorocaba,Pequeno,C+
Ibaté,183,35104,-21.9584,-47.9882,Região Administrativa Central,Médio,C
Ibirarema,425,7753,-22.8185,-50.0739,Região Administrativa de Marília,Pequeno,A
Ibirá,345,12393,-21.083,-49.2448,Região Administrativa de São José do Rio Preto,Pequeno,C+
